,StockRow,Stock#,intercept,slope,standard_error,t_stat_car,car_value,eve_win_size
0,34,102,0.0008134816413096535,0.6622198434640654,0.020153371300514544,-0.11167656443665241,-0.01570024444911626,21
0,35,105,0.0003914095971981192,0.5706434028313402,0.016897961119906033,0.6328475781759716,0.07068062344418952,21
0,36,108,-0.0005291703045964633,0.4541855685298468,0.017100259302855733,2.162310621924093,0.10551826622223998,21
0,37,111,-0.0003559169755957659,0.4589491868156017,0.017170256361338603,0.2363080892964519,0.011557127492629079,21
0,38,114,0.0005070027892256744,0.35508386411848847,0.01660000924696463,1.105991072094664,0.05672958885325767,21
0,39,117,0.0007314578348462497,0.18550386323945012,0.01757999999792302,-0.36672729127036113,-0.0367177760758014,21
0,40,120,0.0001013893212747682,0.5557867306764568,0.020327391900403172,-0.4815728747732423,-0.0496863084405703,21
0,41,123,0.0005814276139162453,0.6179863558454635,0.02053112426761196,0.2043061267903603,0.011853980577297545,21
0,42,126,-0.00020883286209825975,1.362351361128829,0.017855062676630225,1.4407801891568233,0.13423946391927685,21
0,43,129,0.0012618946997227866,1.1117650609599354,0.018832068021286338,-1.1593902539406278,-0.12726535408037254,21
0,44,132,0.0009306075760817125,1.113528269817171,0.02070228868266393,-0.5711944982174876,-0.056176821308669335,21
0,45,135,0.0012041346805410345,1.095753377566377,0.020020358999444734,-0.07805319371421696,-0.009085148715295685,21
0,46,138,0.0015623134490153553,1.0634948472559538,0.019884573484741753,0.8295137738306465,0.05557881456388275,21
0,47,141,0.0002435904061613627,1.2064171548351197,0.013675133269648476,1.119805034244924,0.07813497117014345,21
0,48,144,0.0001587096311858121,1.203632534669444,0.014124825629412663,-0.6145665869675876,-0.05584346586094928,21
0,49,147,0.0006255653313236814,0.7712919049293365,0.016918881645684336,0.533369556006873,0.044175235632481075,21
0,50,150,0.0007269396666964362,0.4639866875567349,0.017243644336089495,0.5659908330600468,0.04491165974464288,21
0,51,153,0.0008455216807258358,0.4079705093164349,0.01739685689648245,0.6489188256003202,0.04255064993056961,21
0,52,156,0.00011592700027879548,0.4009553013542752,0.017865217519663436,0.9619418714127058,0.10413941179775257,21
0,53,159,0.00038973751126910407,0.4008968287596913,0.019078292925771886,0.33576147342182666,0.018699335022814463,21
0,54,162,0.00045379235998249396,0.37666871482517816,0.01949258125568638,-0.26892819925663725,-0.018073088685337663,21
0,55,165,0.0006685888319403136,0.5882129991653696,0.016946905222995433,-1.901717212644999,-0.1890869665023588,21
0,56,168,0.00021296716141585643,0.5715750723104798,0.01603189541640125,1.0667778809593893,0.08971441733651862,21
0,57,171,0.0008770994605119958,0.6555013753059076,0.016350710082408345,-1.056637077570614,-0.10813800741380253,21
0,58,174,-0.00030500649445923774,0.614706570780384,0.018531530285797456,0.8288473568178972,0.061308086064379264,21
0,59,177,6.21125576396633e-05,0.6430673939037285,0.0190305220035396,0.5301803697973917,0.02562997471849997,21
0,60,180,0.0007438017617199793,0.5077805194774055,0.017014196814316332,1.2766403295822706,0.11977972857264596,21
0,61,183,0.0021154466877233978,0.279016501182627,0.015504707320432815,-0.8614436845545873,-0.05119070483420045,21
